date,close
2015-08-31,26.93
2015-09-01,28.085
2015-09-02,27.593
2015-09-03,27.318
2015-09-07,28.078
2015-09-08,27.538
2015-09-09,28.143
2015-09-10,28.553
2015-09-13,28.828
2015-09-14,29.07
2015-09-15,29.103
2015-09-16,28.48
2015-09-17,28.363
2015-09-20,28.803
2015-09-21,28.35
2015-09-22,28.58
2015-09-23,28.75
2015-09-24,28.678
2015-09-27,28.11
2015-09-28,27.265
2015-09-29,27.488
2015-09-30,27.395
2015-10-01,27.595
2015-10-04,27.695
2015-10-05,27.828
2015-10-06,27.695
2015-10-07,27.375
2015-10-08,28.03
2015-10-11,27.9
2015-10-12,27.948
2015-10-13,27.553
2015-10-14,27.965
2015-10-15,27.76
2015-10-18,27.933
2015-10-19,28.443
2015-10-20,28.44
2015-10-21,28.875
2015-10-22,29.77
2015-10-25,28.82
2015-10-26,28.638
2015-10-27,29.818
2015-10-28,30.133
2015-10-29,29.875
2015-11-01,30.295
2015-11-02,30.643
2015-11-03,30.5
2015-11-04,30.23
2015-11-05,30.265
2015-11-08,30.143
2015-11-09,29.193
2015-11-10,29.028
2015-11-11,28.93
2015-11-12,28.085
2015-11-15,28.544
2015-11-16,28.423
2015-11-17,29.323
2015-11-18,29.695
2015-11-19,29.825
2015-11-22,29.438
2015-11-23,29.72
2015-11-24,29.508
2015-11-26,29.453
2015-11-29,29.575
2015-11-30,29.335
2015-12-01,29.07
2015-12-02,28.8
2015-12-03,29.758
2015-12-06,29.57
2015-12-07,29.558
2015-12-08,28.905
2015-12-09,29.043
2015-12-10,28.295
2015-12-13,28.12
2015-12-14,27.623
2015-12-15,27.835
2015-12-16,27.245
2015-12-17,26.508
2015-12-20,26.833
2015-12-21,26.808
2015-12-22,27.153
2015-12-23,27.008
2015-12-27,26.705
2015-12-28,27.185
2015-12-29,26.83
2015-12-30,26.315
2016-01-03,26.338
2016-01-04,25.678
2016-01-05,25.175
2016-01-06,24.113
2016-01-07,24.24
2016-01-10,24.633
2016-01-11,24.99
2016-01-12,24.348
2016-01-13,24.88
2016-01-14,24.283
2016-01-18,24.165
2016-01-19,24.198
2016-01-20,24.075
2016-01-21,25.355
2016-01-24,24.86
2016-01-25,24.998
2016-01-26,23.355
2016-01-27,23.523
2016-01-28,24.335
2016-01-31,24.108
2016-02-01,23.62
2016-02-02,24.088
2016-02-03,24.15
2016-02-04,23.505
2016-02-07,23.753
2016-02-08,23.748
2016-02-09,23.568
2016-02-10,23.425
2016-02-11,23.498
2016-02-15,24.16
2016-02-16,24.53
2016-02-17,24.065
2016-02-18,24.01
2016-02-21,24.22
2016-02-22,23.673
2016-02-23,24.025
2016-02-24,24.19
2016-02-25,24.228
2016-02-28,24.173
2016-02-29,25.133
2016-03-01,25.188
2016-03-02,25.375
2016-03-03,25.753
2016-03-06,25.468
2016-03-07,25.258
2016-03-08,25.28
2016-03-09,25.293
2016-03-10,25.565
2016-03-13,25.63
2016-03-14,26.145
2016-03-15,26.493
2016-03-16,26.45
2016-03-17,26.48
2016-03-20,26.478
2016-03-21,26.68
2016-03-22,26.533
2016-03-23,26.418
