date,close
2015-08-31,31.478
2015-09-01,32.246
2015-09-02,31.853
2015-09-03,31.448
2015-09-07,32.194
2015-09-08,32.171
2015-09-09,32.554
2015-09-10,32.765
2015-09-13,32.624
2015-09-14,33.254
2015-09-15,33.276
2015-09-16,33.584
2015-09-17,33.046
2015-09-20,33.349
2015-09-21,32.66
2015-09-22,32.665
2015-09-23,32.746
2015-09-24,32.008
2015-09-27,31.213
2015-09-28,31.131
2015-09-29,31.86
2015-09-30,32.1
2015-10-01,32.85
2015-10-04,33.584
2015-10-05,33.582
2015-10-06,33.5
2015-10-07,33.35
2015-10-08,33.562
2015-10-11,33.822
2015-10-12,34.159
2015-10-13,34.021
2015-10-14,34.651
2015-10-15,34.766
2015-10-18,34.998
2015-10-19,34.0
2015-10-20,33.59
2015-10-21,34.057
2015-10-22,35.967
2015-10-25,36.556
2015-10-26,36.641
2015-10-27,36.846
2015-10-28,37.243
2015-10-29,36.87
2015-11-01,37.387
2015-11-02,37.441
2015-11-03,37.765
2015-11-04,38.034
2015-11-05,38.08
2015-11-08,37.739
2015-11-09,37.913
2015-11-10,38.263
2015-11-11,37.826
2015-11-12,37.004
2015-11-15,37.521
2015-11-16,37.299
2015-11-17,38.001
2015-11-18,37.997
2015-11-19,38.85
2015-11-22,38.835
2015-11-23,38.482
2015-11-24,38.463
2015-11-26,38.599
2015-11-29,38.143
2015-11-30,39.189
2015-12-01,38.893
2015-12-02,38.41
2015-12-03,38.961
2015-12-06,38.65
2015-12-07,38.757
2015-12-08,38.128
2015-12-09,38.002
2015-12-10,37.521
2015-12-13,38.127
2015-12-14,38.005
2015-12-15,38.83
2015-12-16,38.492
2015-12-17,37.843
2015-12-20,38.04
2015-12-21,38.357
2015-12-22,38.426
2015-12-23,38.292
2015-12-27,39.112
2015-12-28,39.698
2015-12-29,39.515
2015-12-30,38.901
2016-01-03,37.972
2016-01-04,38.076
2016-01-05,37.967
2016-01-06,37.05
2016-01-07,36.546
2016-01-10,36.654
2016-01-11,37.267
2016-01-12,35.979
2016-01-13,36.57
2016-01-14,35.525
2016-01-18,35.954
2016-01-19,35.928
2016-01-20,36.334
2016-01-21,37.273
2016-01-24,36.681
2016-01-25,36.689
2016-01-26,35.879
2016-01-27,37.415
2016-01-28,38.068
2016-01-31,38.539
2016-02-01,39.046
2016-02-02,37.469
2016-02-03,36.502
2016-02-04,35.188
2016-02-07,35.208
2016-02-08,35.051
2016-02-09,35.343
2016-02-10,35.318
2016-02-11,35.345
2016-02-15,35.882
2016-02-16,36.599
2016-02-17,35.876
2016-02-18,36.106
2016-02-21,36.453
2016-02-22,35.865
2016-02-23,36.045
2016-02-24,36.456
2016-02-25,36.243
2016-02-28,35.861
2016-02-29,37.109
2016-03-01,36.974
2016-03-02,36.58
2016-03-03,36.511
2016-03-06,35.64
2016-03-07,35.677
2016-03-08,36.271
2016-03-09,36.609
2016-03-10,37.244
2016-03-13,37.512
2016-03-14,37.529
2016-03-15,37.868
2016-03-16,37.924
2016-03-17,37.771
2016-03-20,38.108
2016-03-21,38.003
2016-03-22,37.878
2016-03-23,37.742
2016-03-27,37.664
2016-03-28,38.295
2016-03-29,38.417
2016-03-30,38.145
2016-03-31,38.484
2016-04-03,38.256
2016-04-04,37.929
2016-04-05,38.404
2016-04-06,38.006
2016-04-07,37.974
2016-04-10,37.877
2016-04-11,38.216
2016-04-12,38.596
2016-04-13,38.77
2016-04-14,39.0
2016-04-17,39.384
2016-04-18,38.813
2016-04-19,38.746
2016-04-20,39.0
2016-04-21,36.889
2016-04-24,37.111
2016-04-25,36.269
2016-04-26,36.073
2016-04-27,35.253
2016-04-28,35.394
2016-05-01,35.721
2016-05-02,35.422
2016-05-03,35.569
2016-05-04,35.736
2016-05-05,36.259
2016-05-08,36.457
2016-05-09,36.969
2016-05-10,36.527
2016-05-11,36.404
2016-05-12,36.242
2016-05-15,36.515
2016-05-16,36.01
2016-05-17,36.089
2016-05-18,35.765
2016-05-19,36.086
2016-05-22,35.863
2016-05-23,36.652
2016-05-24,36.905
2016-05-25,36.847
2016-05-26,37.38
2016-05-30,37.443
2016-05-31,37.423
2016-06-01,37.213
2016-06-02,36.793
2016-06-05,36.503
2016-06-06,36.555
2016-06-07,37.146
2016-06-08,37.126
2016-06-09,36.66
2016-06-12,36.594
2016-06-13,36.663
2016-06-14,36.61
2016-06-15,36.213
