close,price_target,upside
53.11,66.0,0.24270382225569573
55.59,36.0,-0.3524015110631409
60.35,68.0,0.12676056338028166
68.46,80.0,0.16856558574349997
73.3,84.0,0.1459754433833561
74.34,81.0,0.0895883777239709
83.18,79.0,-0.05025246453474401
83.18,92.0,0.10603510459245001
83.87,105.0,0.2519375223560271
92.33,102.0,0.1047330228528106
94.06,100.0,0.06315118009780989
94.06,87.0,-0.07505847331490541
91.78,105.0,0.14404009588145564
91.78,107.0,0.16583133580300718
91.78,106.0,0.1549357158422314
91.78,105.0,0.14404009588145564
91.78,110.0,0.1985181956853345
89.47,130.0,0.45300100592377335
95.0,100.0,0.05263157894736842
100.88,116.0,0.14988104678826333
105.12,130.0,0.23668188736681883
105.12,124.0,0.17960426179604258
105.12,123.0,0.1700913242009132
107.66,128.0,0.18892810700352966
106.96,114.0,0.06581899775617059
106.96,115.0,0.07516828721017209
106.96,125.0,0.16866118175018704
102.78,113.0,0.09943568787701887
115.91,135.0,0.1646967474764904
123.37,141.0,0.1429034611331766
129.89,149.0,0.1471244899530373
129.89,131.0,0.008545692509046222
129.89,147.0,0.13172684579259386
129.89,155.0,0.19331742243436767
129.89,152.0,0.17022095619370248
129.89,145.0,0.1163292016321504
129.89,145.0,0.1163292016321504
129.89,143.0,0.10093155747170694
129.89,155.0,0.19331742243436767
136.95,155.0,0.13179992698064996
133.93,90.0,-0.3280071679235422
140.73,155.0,0.10139984367228033
140.73,160.0,0.13692887088751518
140.73,155.0,0.10139984367228033
140.73,157.0,0.11561145455837428
140.73,165.0,0.17245789810275003
140.73,170.0,0.20798692531798488
140.73,158.0,0.12271726000142125
142.83,160.0,0.12021284043968344
154.37,185.0,0.19841938200427542
162.09,189.0,0.16601887840088836
161.34,180.0,0.1156563778356266
161.34,195.0,0.20862774265526216
161.34,180.0,0.1156563778356266
162.13,180.0,0.11022019367174493
167.1,185.0,0.10712148414123283
165.7,180.0,0.08630054315027165
165.04,190.0,0.15123606398448866
170.23,200.0,0.17488104329436652
170.23,200.0,0.17488104329436652
170.23,195.0,0.14550901721200735
170.23,200.0,0.17488104329436652
170.23,200.0,0.17488104329436652
170.23,190.0,0.11613699112964819
170.23,200.0,0.17488104329436652
170.23,205.0,0.2042530693767257
170.23,200.0,0.17488104329436652
170.23,199.0,0.16900663807789468
170.23,200.0,0.17488104329436652
170.23,200.0,0.17488104329436652
170.23,200.0,0.17488104329436652
170.23,210.0,0.23362509545908483
170.23,174.0,0.02214650766609887
170.23,195.0,0.14550901721200735
180.12,197.0,0.09371530091050408
140.4,180.0,0.282051282051282
156.11,180.0,0.1530331176734353
152.11,167.0,0.09788968509631178
152.11,192.0,0.26224442837420275
173.52,200.0,0.152604887044721
177.43,200.0,0.1272050949670292
174.57,185.0,0.059746806438677934
174.57,205.0,0.17431402875637284
174.57,212.0,0.21441255656756605
174.57,207.0,0.18577075098814233
174.57,195.0,0.11703041759752539
174.57,198.0,0.13421550094517962
174.57,205.0,0.17431402875637284
174.57,179.0,0.025376639743369463
183.63,200.0,0.08914665359690685
200.34,215.0,0.07317560147748825
200.34,235.0,0.17300588998702204
213.67,230.0,0.0764262648008612
213.67,260.0,0.2168296906444518
202.88,225.0,0.1090299684542587
202.88,216.0,0.06466876971608836
208.75,225.0,0.07784431137724551
208.75,240.0,0.1497005988023952
208.75,234.0,0.12095808383233533
201.3,220.0,0.09289617486338791
201.3,230.0,0.14257327372081463
201.3,218.0,0.08296075509190257
227.27,240.0,0.056012672152065776
205.37,245.0,0.19296878804109652
222.86,245.0,0.0993448801938436
220.86,250.0,0.13193878475052062
219.66,243.0,0.10625512155148868
219.66,255.0,0.1608850040972412
214.8,245.0,0.1405959031657355
204.72,255.0,0.2456037514654162
204.72,245.0,0.19675654552559593
204.72,250.0,0.22118014849550607
204.72,235.0,0.1479093395857757
204.72,249.0,0.21629542790152403
204.72,245.0,0.19675654552559593
223.72,260.0,0.1621669944573574
213.87,250.0,0.16893439940150556
219.42,256.0,0.166712241363595
223.94,272.0,0.21461105653299992
238.93,267.0,0.11748210773029755
238.93,280.0,0.1718913489306491
238.93,245.0,0.02540493031431797
238.93,315.0,0.3183777675469803
238.93,280.0,0.1718913489306491
238.93,275.0,0.15096471769974465
238.93,269.0,0.12585276022265932
238.93,270.0,0.1300380864688402
238.93,270.0,0.1300380864688402
238.93,292.0,0.22211526388481978
238.93,300.0,0.2555978738542669
238.93,275.0,0.15096471769974465
238.93,265.0,0.10911145523793576
238.93,285.0,0.19281798016155355
238.93,285.0,0.19281798016155355
238.93,300.0,0.2555978738542669
231.96,275.0,0.18554923262631484
243.0,300.0,0.2345679012345679
242.82,275.0,0.13252615105839718
244.2,300.0,0.22850122850122856
258.49,280.0,0.08321405083368792
255.59,300.0,0.17375484173872216
257.17,300.0,0.16654353151611767
257.17,302.0,0.1743204883928918
261.15,330.0,0.2636415852958071
261.97,295.0,0.12608313929075837
252.51,300.0,0.1880717595342759
252.51,295.0,0.16827056354203798
252.51,305.0,0.20787295552651386
252.51,270.0,0.06926458358084832
252.51,300.0,0.1880717595342759
252.51,285.0,0.1286681715575621
252.51,300.0,0.1880717595342759
252.51,290.0,0.14846936754980006
252.51,288.0,0.14054888915290487
248.15,301.0,0.21297602256699574
243.12,290.0,0.19282658769332015
245.71,300.0,0.22095152822432945
250.79,303.0,0.2081821444236214
266.69,325.0,0.2186433687052383
271.4,310.0,0.14222549742078122
286.14,305.0,0.06591179143076821
286.14,333.0,0.1637659886768715
289.67,310.0,0.07018331204474051
289.67,330.0,0.13922739669278827
