close,price_target,upside
25.783,30.25,0.17325369429469023
25.783,26.25,0.018112709925144424
25.783,30.0,0.16355738277159362
25.783,31.25,0.21203894038707669
25.783,46.25,0.7938176317728736
25.783,31.0,0.20234262886398008
27.943,31.0,0.10940128117954402
28.893,30.75,0.06427162288443565
28.73,37.5,0.30525583014270796
28.73,33.25,0.15732683605986772
28.178,33.75,0.19774292000851726
28.263,28.5,0.008385521706825117
30.47,29.25,-0.040039382999671774
34.74,10.31,-0.703223949337939
34.88,40.0,0.146788990825688
35.355,40.0,0.1313816999010042
36.005,37.5,0.04152201083182884
35.17,42.5,0.20841626386124532
35.61,40.25,0.13030047739399048
36.648,9.38,-0.7440515171359965
37.52,45.5,0.212686567164179
38.185,43.0,0.12609663480424244
38.893,36.5,-0.06152778134882885
38.893,35.0,-0.10009513280024684
38.893,45.0,0.15702054354253978
38.893,45.0,0.15702054354253978
39.098,43.75,0.11898306818763112
40.315,46.25,0.14721567654719095
39.018,48.5,0.24301604387718487
39.353,48.25,0.2260818743170787
43.703,52.5,0.20129052925428453
42.775,48.75,0.13968439509059033
43.555,51.25,0.1766731718516818
42.878,50.0,0.1660991650729978
41.945,48.75,0.16223626177136727
38.788,40.25,0.037692069712282235
43.535,58.75,0.34948891696336293
42.275,55.0,0.30100532229450033
42.275,39.25,-0.07155529272619748
44.223,42.75,-0.03330845939895527
44.223,52.0,0.17585871605273276
44.223,40.25,-0.08984012843995204
47.145,53.5,0.1347969031710679
48.25,46.0,-0.046632124352331605
48.705,58.0,0.19084282927830823
51.848,55.0,0.06079308748649902
51.848,49.75,-0.04046443450084861
51.848,43.75,-0.15618731677210304
51.998,57.5,0.10581176199084585
53.763,62.5,0.1625095325781672
56.718,62.5,0.10194294580203808
55.775,66.25,0.18780815777678175
55.775,61.25,0.09816225907664727
55.96,64.0,0.14367405289492494
55.96,61.75,0.10346676197283773
56.435,68.0,0.2049260210862053
53.325,66.25,0.2423816221284575
51.118,63.25,0.23733322899956957
47.853,56.25,0.1754748918563099
44.195,45.5,0.02952822717501979
44.645,56.25,0.25993952290290057
42.158,50.0,0.18601451681768583
37.065,43.75,0.18035882908404163
37.065,47.5,0.28153244300553093
37.065,46.25,0.24780790503170114
37.065,50.0,0.3489815189531904
37.065,40.0,0.07918521516255234
37.065,52.75,0.4231755024956159
37.065,40.0,0.07918521516255234
37.065,49.0,0.3220018885741266
37.065,42.5,0.14663429111021187
41.61,9.56,-0.7702475366498437
41.61,45.0,0.08147080028839222
41.61,49.25,0.18360970920451816
41.61,46.25,0.11151165585195869
41.61,46.25,0.11151165585195869
41.61,42.5,0.021389089161259325
46.53,55.0,0.1820330969267139
47.763,55.0,0.1515189581893935
47.763,53.75,0.12534807277599821
47.763,56.25,0.1776898436027888
47.118,53.75,0.14075300309860345
47.118,57.5,0.22034042191943626
47.118,50.0,0.061165584277770656
47.118,55.0,0.16728214270554773
49.738,55.0,0.10579436245928667
49.738,45.0,-0.09525915798785636
49.718,52.25,0.05092722957480181
51.32,58.5,0.13990646921278255
51.075,58.75,0.15026921194322068
52.288,53.75,0.02796052631578954
52.288,60.0,0.14749082007343947
52.288,58.75,0.1235847613219095
52.288,57.5,0.0996787025703795
52.288,61.25,0.17139687882496948
44.743,56.25,0.2571798940616409
44.345,12.81,-0.7111286503551696
43.768,57.75,0.31945713763480166
43.768,57.75,0.31945713763480166
45.635,50.5,0.10660677111865897
47.538,51.25,0.07808490050065219
49.695,51.25,0.03129087433343394
50.808,59.75,0.17599590615651078
51.415,46.75,-0.09073227657298452
52.21,61.75,0.18272361616548552
52.195,58.75,0.12558674202509817
52.108,52.5,0.0075228371843095694
52.108,60.0,0.15145467106778238
52.108,62.5,0.19943194902893996
52.108,62.5,0.19943194902893996
52.108,60.75,0.16584785445612965
52.108,60.0,0.15145467106778238
52.108,46.25,-0.11242035771858443
52.108,61.25,0.17544331004836117
50.248,48.0,-0.04473809902881702
55.773,62.5,0.12061391712835953
55.773,51.75,-0.0721316766177183
55.773,62.5,0.12061391712835953
56.148,66.25,0.1799173612595283
56.1,51.25,-0.08645276292335118
57.523,65.0,0.12998278949289843
59.103,56.0,-0.05250156506437916
59.99,70.0,0.16686114352392062
60.795,57.5,-0.054198536063821065
60.895,72.25,0.18646851137203377
61.645,68.75,0.11525671181766561
60.823,275.0,3.521315949558555
60.823,71.25,0.17143185965835292
60.823,65.0,0.06867467898656758
60.823,55.25,-0.09162652286141756
63.955,72.5,0.13360956922836373
63.955,68.75,0.07497459150965526
63.955,75.0,0.17269955437416937
63.955,59.0,-0.07747635055898676
63.955,67.5,0.05542959893675243
63.955,75.0,0.17269955437416937
63.955,70.0,0.09451958408255808
63.955,61.25,-0.04229536392776168
63.955,70.0,0.09451958408255808
63.955,74.0,0.15706356031584712
63.955,56.25,-0.12047533421937297
65.66,73.75,0.12321047822113926
66.44,47.5,-0.2850692354003612
66.96,72.5,0.08273596176821993
64.863,74.0,0.14086613323466385
67.865,76.25,0.123554114786709
69.935,81.25,0.16179309358690208
71.068,87.5,0.2312151741993584
74.598,87.5,0.17295369849057618
74.598,87.5,0.17295369849057618
77.583,87.5,0.12782439451941793
78.17,296.0,2.786618907509274
78.17,93.75,0.1993091979020084
77.835,88.75,0.14023254320035983
78.81,88.75,0.1261261261261261
79.578,85.0,0.0681344090075146
79.423,72.5,-0.08716618611737156
80.968,23.12,-0.7144550933702203
80.968,325.0,3.013931429700622
80.968,300.0,2.705167473569805
80.968,22.81,-0.7182837664262425
80.968,93.75,0.15786483549056413
